Layer,Pressure
-7,53.8
-7,53.3
-7,54.8
-7,54.6
-7,53.7
-7,55.2
-7,55.7
-7,54.1
-6,63.8
-6,64.2
-6,66.9
-6,67.2
-6,65.4
-6,67.3
-5,71.8
-5,73.2
-5,75.6
-5,76.2
-5,72.7
-4,79.4
-4,81.1
-4,85.2
-4,83
-4,84.1
-4,82.8
-3,90.3
-3,84.2
-3,88.3
-3,86
-2,93.2
-2,97.4
-2,98.3
-1,102.8
-1,96.6
-1,98.2
0,98.9
0,96.1
0,99.6
0,91.4
1,101.1
1,94.6
1,95.9
2,92.3
2,96.6
2,98.5
3,93.6
3,86.2
3,87.9
3,89.5
4,74.8
4,82.3
4,76.9
4,81.2
5,73.6
5,65.4
5,67.1
6,60.2
6,54.9
6,50.8
7,44.7
7,38.5
